id,title,description,correct_label,confidence,label_source,review_required
1,All mandatory fields should be validated and indicated by an asterisk (*) symbol.,"Check all the mandatory fields in all the forms, screens, pop-up windows etc. and make sure that they are marked by an asterix(*) symbol. Additionaly if there are any agreed upon colour coding for such fields and the asterix symbol, then that should be present.",unknown,0.7,rule:no-signal,true
3,"All error messages should be displayed in the same CSS style (For Example, using red color)",Any error message which is triggered during any validation should be colour coddes in the same CSSstyle so as to make the colour coding consistent for an application.,checklists,0.76,rule:keywords,true
4,"General confirmation messages should be displayed using CSS style other than error messages style (For Example, using green color)","Any message other than standard error message(warning message etc.) should be displayed in a css style(colour) other than thecolour/style used for an error message. For example, if error message is displayed in red colour then a warning message should be somethign else like green colour.",unknown,0.7,rule:no-signal,true
5,Tooltips text should be meaningful.,Tooltips help the user to get a quick description about a particular web component/fucntionality. Thes etooltips should convey meaningful information about that component/tool on a page and should be brief.,users,0.76,rule:keywords,true
6,Drop-down fields should have the first entry as blank or text like ‘Select’.,All the drop-downs in any page of an applictaion should have the first entry as blank or a text like 'Select'. This is helpful in conveying that nothing is select by default unless otherwise required by design.,unknown,0.7,rule:no-signal,true
7,‘Delete functionality’ for any record on a page should ask for a confirmation.,"Clicking on the delete button on any webpage should not trigger the delete action right-away. Instead the system should ask for confirmation from the user through a proper agreed upon standard chanel. For example, on clicking the delete button should make a pop-up appear onscreen with teh appropriate confirmation message and an ""ok"" and ""cancel"" button.",users,0.76,rule:keywords,true
8,Select/deselect all records option should be provided if page supports record add/delete/update functionality,Whenever a page support add/update/delete fucntionality then theat page should provide the user with an option to select all the selectable items with a select all button. That page should also provide another option to deselect all select items at once with the deselect alloption,users,0.76,rule:keywords,true
9,Amount values should be displayed with correct currency symbols.,"Fields which are supposed to be updated with currency values or are supposed to display currency values, should contain proepr currency symbols. These symbols should be relevant to the currency being displayed by default or the currecny to be entered.",unknown,0.7,rule:no-signal,true
10,Default page sorting should be provided.,Page should be sorted by default.,unknown,0.7,rule:no-signal,true
11,Reset button functionality should set default values for all fields.,Clicking on the reset button should discard the recent changes and set the values of all fields to their defaultvalues,unknown,0.7,rule:no-signal,true
12,All numeric values should be formatted properly.,All the numeric fields should be formatted correctly. The decimel places for fields having decimel values should be correct upto to the required number of values after the decimel places. The integer fields should not display decimel values.,unknown,0.7,rule:no-signal,true
13,Input fields should be checked for the max field value. Input values greater than the specified max limit should not be accepted or stored in the database.,The input fields should have proper checks for acceptable max value. Required truncation should be in place for values excedding the accepable limit.,checklists,0.76,rule:keywords,true
14,Check all input fields for special characters.,Proper checks should be in place for special characters in input fields. If special characters are accepatble then it should accept and if special characters are nota acceptable then it should throw an error.,unknown,0.7,rule:no-signal,true
15,Field labels should be standard e.g. field accepting user’s first name should be labeled properly as ‘First Name’.,Field labels should be standard. This standard should be based on the base document (whicheve document is accepted as the base),unknown,0.65,rule:tie,true
16,Check page sorting functionality after add/edit/delete operations on any record.,"The sorting on a page should be correct even if a record is added , removed or updated.Post this actions the sorting should still be correct.",unknown,0.7,rule:no-signal,true
17,Check for timeout functionality. Timeout values should be configurable. Check application behavior after the operation timeout.,,unknown,0.7,rule:no-signal,true
18,Check cookies used in an application.,,unknown,0.7,rule:no-signal,true
19,Check if downloadable files are pointing to the correct file paths.,Check if downloadable files are pointing to the correct file paths.,unknown,0.7,rule:no-signal,true
21,Standard conventions should be followed throughout for naming resource keys.,The naming conventio should be standard for the resource keys. This standard should be based on a base document.,unknown,0.7,rule:no-signal,true
22,Validate markup for all web pages (validate HTML and CSS for syntax errors) to make sure it is compliant with the standards.,All the markup in web pages should be standard.,unknown,0.7,rule:no-signal,true
23,Application crash or unavailable pages should be redirected to the error page.,Whenever a webpage crashes then user should be re-directed to an errorpage having a standard error message. The same should be true for unavilable page as well.,users,0.76,rule:keywords,true
24,Check the text on all pages for spelling and grammatical errors.,The text appearing in all the pages should be free from any spelling and grammatical errors.,unknown,0.7,rule:no-signal,true
25,Check numeric input fields with character input values. A proper validation message should appear.,The numeric fields should have validation for character input. A proper error message should be displayed whenever user tries to enter a character in a numeric .,unknown,0.65,rule:tie,true
26,Check for negative numbers if allowed for numeric fields.,The numeric fields should have validation for character input. A proper error message should be displayed whenever user tries to enter a character in a numeric .,unknown,0.65,rule:tie,true
27,Check the number of fields with decimal number values.,The numeric fields should have validation for decimel input. A proper error message should be displayed whenever user tries to enter a decimel in a numeric .,unknown,0.65,rule:tie,true
28,Check the functionality of buttons available on all pages.,All the buttons in every page should behave as expected. The functionality should be inline to the agreed standards or base document.,unknown,0.7,rule:no-signal,true
29,The user should not be able to submit a page twice by pressing the submit button in quick succession.,The user should not be able to submit a page twice by pressing the submit button in quick succession.,users,0.76,rule:keywords,true
30,Divide by zero errors should be handled for any calculations.,Divide by zero errors should be handled for any calculations.,unknown,0.7,rule:no-signal,true
31,Input data with the first and last position blank should be handled correctly.,Spaces in input should be handled correctly.,unknown,0.7,rule:no-signal,true
32,"All fields on a page (For Example, text box, radio options, drop-down lists) should be aligned properly.","All fields on a page (For Example, text box, radio options, drop-down lists) should be aligned properly.",unknown,0.7,rule:no-signal,true
33,Numeric values should be justified correctly unless specified otherwise.,All the numeric fields should be justified correctly. For example if the standard required numeric fields to be left justified then all the numeric fields in all pages should be left justified.,unknown,0.7,rule:no-signal,true
34,"Enough space should be provided between field labels, columns, rows, error messages, etc.","The field labels, columns etc. should have proper spacing between them. This is required for improved readability.",checklists,0.76,rule:keywords,true
35,The scrollbar should be enabled only when necessary.,The scrollbar should be enabled only when necessary.,unknown,0.7,rule:no-signal,true
36,"Font size, style, and color for headline, description text, labels, infield data, and grid info should be standard as specified in SRS.","Font size, style, and color for headline, description text, labels, infield data, and grid info should be standard as specified in SRS.",unknown,0.7,rule:no-signal,true
37,The description text box should be multi-lined.,The description text box should be multi-lined.,unknown,0.7,rule:no-signal,true
38,Disabled fields should be greyed out and users should not be able to set focus on these fields.,,users,0.76,rule:keywords,true
39,"Upon click of an input text field, the mouse arrow pointer should get changed to the cursor.",,checklists,0.76,rule:keywords,true
40,The user should not be able to type in drop-down select lists.,The user should be able totype in a dropdown list in addition to the usual drop down action of selecting an option from the list.,users,0.76,rule:keywords,true
41,Information filled by users should remain intact when there is an error message on page submit. The user should be able to submit the form again by correcting the errors.,"Whenever an error ocurs on page submit, then the user enetred information on rest of the fields where the inputs are valid, should retain there values. The user should be able to submit the form again by correcting the errors.",users,0.76,rule:keywords,true
42,Check if proper field labels are used in error messages.,"In the error messages which occur due to a particular field, the fieldlabel in such error message should be correct.",checklists,0.76,rule:keywords,true
43,Check if the drop-down list options are readable and not truncated due to field size limits.,The drop down list options should have readable labels. If the option labels are longer then usual then proper formatting should be in place but these labels should not be truncated,checklists,0.76,rule:keywords,true
44,All buttons on a page should be accessible by keyboard shortcuts and the user should be able to perform all operations using a keyboard.,"In adition to mouse actions, the fields on a page should be accessible by keyboard shortcuts. Whichever fucntions can be performed by mouse should be accessible wit keyboard as well",users,0.76,rule:keywords,true
45,Check all pages for broken images.,"All the images , icons etc. should be intact and visible correctly. None of the images hsould be broken.",unknown,0.7,rule:no-signal,true
46,Check all pages for broken links.,All the links should be intact and visible correctly. None of the images hsould be broken.,unknown,0.7,rule:no-signal,true
47,All pages should have a title.,All pages should have a title.,unknown,0.7,rule:no-signal,true
48,Confirmation messages should be displayed before performing any update or delete operation.,Whenever any update or delete action is performed then the proper warning or error message should be there.,unknown,0.7,rule:no-signal,true
49,Hourglass should be displayed when the application is busy.,"During an event such as page loading in progress, an hourglass icon should be displayed.",unknown,0.7,rule:no-signal,true
50,Page text should be left-justified.,Page text should be left-justified.,unknown,0.7,rule:no-signal,true
51,The user should be able to select only one radio option and any combination for checkboxes.,The user should be able to select only one radio option and any combination for checkboxes.,users,0.76,rule:keywords,true
52,The user should be able to filter results using all parameters on the page.,The user should be able to filter results using all parameters on the page.,users,0.76,rule:keywords,true
53,Refine search functionality should load the search page with all user-selected search parameters.,The search functionality should filter and load the search page with all user-selected search parameters.,users,0.76,rule:keywords,true
54,"When there are at least one filter criteria required to perform the search operation, make sure the proper error message is displayed when the user submits the page without selecting any filter criteria.","When there are at least one filter criteria required to perform the search operation, make sure the proper error message is displayed when the user submits the page without selecting any filter criteria.",unknown,0.65,rule:tie,true
55,"When at least one filter criteria selection is not compulsory, the user should be able to submit the page and the default search criteria should get used to query results.","When at least one filter criteria selection is not compulsory, the user should be able to submit the page and the default search criteria should get used to query results.",unknown,0.65,rule:tie,true
57,Page loading symbol should be displayed when it’s taking more than default time to load the result page.,Page loading symbol should be displayed when it’s taking more than default time to load the result page.,unknown,0.7,rule:no-signal,true
58,Check if all the search parameters are used to fetch data shown on the result grid.,Check if all the search parameters are used to fetch data shown on the result grid.,checklists,0.76,rule:keywords,true
59,The total number of results should be displayed in the result grid.,The total number of results should be displayed in the result grid.,checklists,0.76,rule:keywords,true
60,Search criteria used for searching should be displayed in the result grid.,Search criteria used for searching should be displayed in the result grid.,checklists,0.76,rule:keywords,true
61,Result grid values should be sorted by default column.,Result grid values should be sorted by default column.,checklists,0.76,rule:keywords,true
62,Sorted columns should be displayed with a sort icon.,Sorted columns should be displayed with a sort icon.,unknown,0.7,rule:no-signal,true
63,Result grids should include all the specified columns with correct values.,Result grids should include all the specified columns with correct values.,unknown,0.7,rule:no-signal,true
64,Ascending and descending sorting functionality should work for columns supported by data sorting.,Ascending and descending sorting functionality should work for columns supported by data sorting.,unknown,0.7,rule:no-signal,true
