test_result_id,test_run_id,status,error_type,duration_ms,checklist_item
128,128,blocked,infra_error,,"Verify valid login reaches the logged-in page"
127,127,failed,assertion_failed,20161,"Verify locked_out_user login is rejected"
126,126,blocked,infra_error,,"Verify successful login with standard_user"
125,125,blocked,input_data_missing,15512,"Verify successful login with standard_user"
124,124,blocked,input_data_missing,14918,"Verify successful login with standard_user"
123,123,blocked,unexpected_error,0,"Verify successful login with standard_user"
122,122,blocked,timeout,,"Verify successful login with standard_user"
118,117,blocked,timeout,,"Verify successful login with standard_user"
119,119,blocked,timeout,,"Verify valid login reaches the logged-in page"
120,120,blocked,timeout,,"Verify searching for dress returns visible results"
121,121,blocked,timeout,,"Verify searching for dress returns visible results"
117,118,failed,assertion_failed,17192,"Verify locked_out_user login is rejected"
116,116,blocked,infra_error,,"TC-01 | Successful login page validation"
115,115,blocked,input_data_missing,14848,"TC-01 | Successful login page validation"
114,114,passed,,17065,"Valid user can login"
113,113,passed,,17299,"Valid user can login"
112,112,passed,,17443,"Valid user can login"
111,111,passed,,17785,"Verify successful login with standard_user"
110,110,blocked,script_generation_failed,,"Verify successful login with standard_user"
109,109,blocked,script_generation_failed,,"Verify successful login with standard_user"
108,108,blocked,script_generation_failed,,"Verify successful login with standard_user"
107,107,blocked,script_generation_failed,,"Verify successful login with standard_user"
106,106,blocked,script_generation_failed,,"Verify successful login with standard_user"
105,105,blocked,script_generation_failed,,"Verify successful login with standard_user"
104,104,blocked,script_generation_failed,,"Verify successful login with standard_user"
103,103,passed,,13912,"TC-01 | Cas nominal"
102,102,blocked,input_data_missing,14407,"Missing username prevents login"
101,101,failed,assertion_failed,17266,"Locked out user cannot login"
100,100,passed,,17227,"Valid user can login"
99,99,blocked,url_unreachable,26003,"Sort price low to high"
98,98,blocked,url_unreachable,25997,"Sort product names Z to A"
97,97,blocked,url_unreachable,25964,"Sort product names A to Z"
96,96,blocked,url_unreachable,25976,"Back to products returns inventory list"
95,95,blocked,url_unreachable,26016,"Product detail page opens from inventory"
94,94,blocked,url_unreachable,25951,"Cart retains added item after opening cart"
93,93,blocked,url_unreachable,25972,"Remove backpack from cart page"
92,92,blocked,url_unreachable,25985,"Remove backpack from inventory page"
91,91,blocked,url_unreachable,26007,"Cart badge updates after adding two items"
90,90,blocked,url_unreachable,26002,"Add bike light to cart"
89,89,blocked,url_unreachable,26098,"Add backpack to cart"
88,88,blocked,url_unreachable,25993,"Cart page requires login"
87,87,blocked,url_unreachable,26027,"Inventory page requires login"
86,86,blocked,url_unreachable,26108,"Invalid username shows login error"
85,85,blocked,url_unreachable,26192,"Invalid password shows login error"
84,84,blocked,url_unreachable,26025,"Missing username and password prevents login"
83,83,blocked,url_unreachable,26051,"Missing password prevents login"
82,82,blocked,url_unreachable,26010,"Missing username prevents login"
81,81,blocked,url_unreachable,26081,"Locked out user cannot login"
80,80,blocked,url_unreachable,26208,"Valid user can login"
79,79,passed,,13793,"Sort price low to high"
78,76,failed,selector_not_found,43925,"Back to products returns inventory list"
77,78,passed,,14148,"Sort product names Z to A"
76,77,passed,,14017,"Sort product names A to Z"
75,73,failed,selector_not_found,44176,"Remove backpack from cart page"
74,75,passed,,13900,"Product detail page opens from inventory"
73,74,passed,,13904,"Cart retains added item after opening cart"
72,72,passed,,17796,"Remove backpack from inventory page"
71,71,passed,,17588,"Cart badge updates after adding two items"
70,70,passed,,17717,"Add bike light to cart"
69,69,passed,,17764,"Add backpack to cart"
68,68,passed,,14796,"Cart page requires login"
67,67,passed,,14805,"Inventory page requires login"
66,66,passed,,16432,"Invalid username shows login error"
65,65,passed,,16462,"Invalid password shows login error"
64,64,blocked,input_data_missing,13846,"Missing username and password prevents login"
63,62,passed,,15757,"Missing username prevents login"
62,63,blocked,input_data_missing,13891,"Missing password prevents login"
61,61,passed,,16539,"Locked out user cannot login"
60,60,passed,,16372,"Valid user can login"
59,59,passed,,14764,"Missing username and password prevents login"
58,58,passed,,14720,"Cart page requires login"
57,57,passed,,14716,"Inventory page requires login"
56,55,passed,,16130,"Missing username prevents login"
55,56,blocked,input_data_missing,13981,"Missing username and password prevents login"
54,54,passed,,17690,"Add backpack to cart"
53,53,blocked,input_data_missing,13813,"Cart page requires login"
52,52,blocked,input_data_missing,13911,"Inventory page requires login"
51,51,passed,,16581,"Invalid username shows login error"
50,50,passed,,16415,"Invalid password shows login error"
49,49,blocked,input_data_missing,14036,"Missing username and password prevents login"
48,48,passed,,15625,"Missing password prevents login"
47,47,blocked,input_data_missing,13990,"Missing username prevents login"
46,46,passed,,16370,"Locked out user cannot login"
45,45,passed,,16062,"Valid user can login"
44,44,passed,,13874,"Add backpack to cart"
43,41,passed,,16343,"Invalid username shows login error"
42,43,blocked,script_generation_failed,,"Cart page requires login"
40,40,passed,,16358,"Invalid password shows login error"
41,42,blocked,script_generation_failed,,"Inventory page requires login"
39,39,blocked,input_data_missing,13880,"Missing username and password prevents login"
38,37,passed,,15966,"Missing username prevents login"
37,38,blocked,input_data_missing,13984,"Missing password prevents login"
36,36,passed,,16549,"Locked out user cannot login"
35,35,passed,,16663,"Valid user can login"
34,34,blocked,input_data_missing,13071,"Missing username prevents login"
33,33,passed,,17191,"Locked out user cannot login"
32,32,passed,,17263,"Valid user can login"
31,29,failed,navigation_timeout,36514,"Valid user can login"
30,31,passed,,15509,"Missing username prevents login"
29,30,passed,,16553,"Locked out user cannot login"
28,26,failed,selector_not_found,44419,"Valid user can login"
27,28,blocked,input_data_missing,13032,"Missing username prevents login"
26,27,blocked,unexpected_error,0,"Locked out user cannot login"
25,25,blocked,url_unreachable,25879,"Missing username prevents login"
24,24,blocked,input_data_missing,14562,"Missing username prevents login"
23,23,blocked,url_unreachable,25934,"Locked out user cannot login"
22,22,passed,,17463,"Valid user can login"
21,21,blocked,input_data_missing,14512,"Missing username prevents login"
20,20,blocked,url_unreachable,21556,"Locked out user cannot login"
19,19,passed,,17780,"Valid user can login"
18,18,blocked,url_unreachable,19926,"Missing username prevents login"
17,17,blocked,url_unreachable,19923,"Locked out user cannot login"
16,16,passed,,17078,"Valid user can login"
15,15,blocked,input_data_missing,14393,"Missing username prevents login"
14,14,blocked,url_unreachable,19982,"Locked out user cannot login"
13,13,passed,,16989,"Valid user can login"
12,10,passed,,16908,"Valid user can login"
10,11,blocked,infra_error,,"Locked out user cannot login"
11,12,blocked,infra_error,,"Missing username prevents login"
9,7,passed,,16989,"Valid user can login"
7,8,blocked,infra_error,,"Locked out user cannot login"
8,9,blocked,infra_error,,"Missing username prevents login"
6,6,blocked,input_data_missing,14493,"Missing username prevents login"
5,5,blocked,input_data_missing,13763,"Locked out user cannot login"
4,4,blocked,input_data_missing,15957,"Valid user can login"
3,3,passed,,14227,"TC-01 | Cas nominal"
2,2,passed,,14228,"TC-01 | Cas nominal"
1,1,passed,,14240,"TC-01 | Cas nominal"
