item_id,checklist_id,us_id,item_title,final_category,matched_in,exclusion_applied,exclusion_rule,priority,criticality
471,92,34,"Accès à la page de connexion Swag Labs",POSITIF,description,1,"NÉGATION : sans erreur",High,Critical
472,92,34,"Connexion réussie avec standard_user et secret_sauce",POSITIF,title,,,High,Critical
473,92,34,"Blocage de locked_out_user malgré mot de passe correct",NÉGATIF,description,,,High,Critical
474,92,34,"Mot de passe invalide pour un utilisateur existant",NÉGATIF,title,,,High,Critical
475,92,34,"Déconnexion’après authentification réussie",POSITIF,title,,,High,Critical
476,92,34,"Isolation de session entre deux onglets après déconnexion",POSITIF,description,1,"NOMINALISATION : invalidée (état attendu)",Medium,Major
477,93,34,"Accès direct à la page de connexion Swag Labs",POSITIF,description,1,"NÉGATION : sans erreur",High,Critical
478,93,34,"Connexion réussie avec standard_user et secret_sauce",POSITIF,title,,,High,Critical
479,93,34,"Blocage de locked_out_user malgré mot de passe correct",NÉGATIF,description,,,High,Critical
480,93,34,"Erreur bannière pour mot de passe invalide",POSITIF,title,1,"NÉGATION : aucune invalid",High,Critical
481,93,34,"Déconnexion’après authentification réussie",POSITIF,title,,,High,Critical
482,93,34,"Isolation de session entre deux onglets après logout",POSITIF,description,1,"NOMINALISATION : invalidée (état attendu)",Medium,Major
483,94,34,"Accès direct à la page de connexion Swag Labs",POSITIF,description,1,"NÉGATION : sans erreur",High,Critical
484,94,34,"Connexion réussie avec standard_user et secret_sauce",POSITIF,title,,,High,Critical
485,94,34,"Blocage de locked_out_user malgré mot de passe correct",NÉGATIF,description,,,High,Critical
486,94,34,"Mot de passe invalide pour un utilisateur existant",NÉGATIF,title,,,High,Critical
487,94,34,"Déconnexion’après authentification réussie",POSITIF,title,,,High,Critical
551,106,34,"Accès à la page de connexion Swag Labs",POSITIF,description,,,High,Critical
552,106,34,"Connexion réussie avec standard_user et secret_sauce",POSITIF,title,,,High,Critical
553,106,34,"Blocage explicite de locked_out_user",POSITIF,description,1,"NOMINALISATION : refusée (état attendu)",High,Critical
554,106,34,"Mot de passe invalide pour un utilisateur existant",NÉGATIF,title,,,High,Critical
555,106,34,"Déconnexion’après authentification réussie",POSITIF,title,,,High,Critical
556,106,34,"Isolation de session entre deux onglets après logout",NÉGATIF,description,,,Medium,Major
488,95,36,"Blocage de la poursuite si le code postal est absent",NÉGATIF,title,,,High,Critical
489,95,36,"Validation individuelle des trois champs obligatoires",POSITIF,description,1,"NOMINALISATION : refusée (état attendu)",High,Critical
490,95,36,"Accès à la page d’aperçu avec données client valides",NÉGATIF,description,,,High,Critical
491,95,36,"Protection contre l’accès direct à l’aperçu sans checkout valide",POSITIF,description,1,"NOMINALISATION : blocage (état attendu)",High,Critical
492,95,36,"Affichage du message de remerciement uniquement après finalisation",POSITIF,description,,,High,Critical
493,95,36,"Absence de confirmation tant que la commande n’est pas finalisée",POSITIF,default,,,High,Critical
557,107,36,"- Required checkout fields show validation errors when missing.",NÉGATIF,title,,,High,Critical
558,107,36,"- Valid checkout information’advances to the overview page.",POSITIF,title,,,High,Critical
559,107,36,"- Finishing checkout shows a thank-you confirmation.",POSITIF,default,,,High,Critical
560,107,36,"Carte expiree refuse le paiement",POSITIF,title,1,"NOMINALISATION : refus (état attendu)",High,Critical
561,107,36,"CVV invalide bloque la transaction",NÉGATIF,title,,,High,Critical
562,107,36,"Double soumission ne créé pas de paiement en doublon",POSITIF,default,,,High,Critical
563,107,36,"Refus du prestataire conserve un etat recuperable",NÉGATIF,title,,,High,Critical
564,107,36,"Regle métier respectee - Complété checkout safely",POSITIF,default,,,High,Critical
565,107,36,"Scenario specifique couvre - Complété checkout safely",POSITIF,default,,,Medium,Major
566,107,36,"Notification cohérente après succès pour Complété checkout safely",POSITIF,default,,,Medium,Major
567,107,36,"Gestion des erreurs pour Complété checkout safely",NÉGATIF,title,,,High,Critical
568,107,36,"Notifications correctes pour Complété checkout safely",POSITIF,description,,,Medium,Major
569,108,36,"- Required checkout fields show validation errors when missing.",NÉGATIF,title,,,High,Critical
570,108,36,"- Valid checkout information’advances to the overview page.",POSITIF,title,,,High,Critical
571,108,36,"- Finishing checkout shows a thank-you confirmation.",POSITIF,default,,,High,Critical
572,108,36,"Carte expiree refuse le paiement",POSITIF,title,1,"NOMINALISATION : refus (état attendu)",High,Critical
573,108,36,"CVV invalide bloque la transaction",NÉGATIF,title,,,High,Critical
574,108,36,"Double soumission ne créé pas de paiement en doublon",POSITIF,default,,,High,Critical
575,108,36,"Refus du prestataire conserve un etat recuperable",NÉGATIF,title,,,High,Critical
576,108,36,"Regle métier respectee - Complété checkout safely",POSITIF,default,,,High,Critical
577,108,36,"Scenario specifique couvre - Complété checkout safely",POSITIF,default,,,Medium,Major
578,108,36,"Notification cohérente après succès pour Complété checkout safely",POSITIF,default,,,Medium,Major
579,108,36,"Gestion des erreurs pour Complété checkout safely",NÉGATIF,title,,,High,Critical
580,108,36,"Notifications correctes pour Complété checkout safely",POSITIF,description,,,Medium,Major
